Algorithm,Distribution,Run,Time
Prim's,Dense,1,5849813200
Kruskal,Dense,1,956000000
Prim's,Dense,2,3808312100
Kruskal,Dense,2,674865700
Prim's,Dense,3,2981354800
Kruskal,Dense,3,566329100
Prim's,Dense,4,2732534200
Kruskal,Dense,4,508045800
Prim's,Dense,5,3417645000
Kruskal,Dense,5,569760500
